#,Category,ConedaKOR,LinkedDataHub,Metaphacts Community,Omeka S,ResearchSpace,Vitro,Wikibase,WissKI
1,Official website,,,,,,,,
2,Licence,,,,,,,,
3,Source code availability,Source code available at https://github.com/coneda/kor,https://github.com/AtomGraph/LinkedDataHub,,Source code available at https://github.com/omeka/omeka-s,,Source code available at https://github.com/vivo-project/Vitro,Source code available at https://github.com/wikimedia/Wikibase,The source code is available at drupal-git (you have to register use have detailed access).
4,Community maturity,5 contributers,4 contributers,1 contributer,30 contributers,,37 contributers,"The underlying MediaWiki software is used by tens of thousands of websites and thousands of companies and organizations. As of 2022-05-03: The main MediaWiki GitHub page has 109,774 commits, 2.9K stars, 1.2K forks, and 563 contributors. The dedicated Wikibase GitHub page has 194 contributors.","WissKI module: 93 community members, community 10 developers;
Drupal has 1.3M community members (incl. 46K developers). 22 contributers"
5,Statistics (time stamp it),,"317 stars, 72 forks (2022-06-30)",,"2022-08-31: 6267 commits, 297 stars, 100 forks",,,"GitHub stats as of 2023-02-03: 37,389 commits, 122 stars and 59 forks.",
6,Payment models,"SaaS, individual contract",Free to use,,Free to use,,,,"WissKI is free to use, but you can host and maintain your instance by IGSD e.V., which also mediate to developers and other service providers."
7,Maintainer and Support,"The software is free to use. SaaS options are available through DAASI International, paid support and customizations are available through Wendig OÜ",AtomGraph,"Metaphacts GmbH no longer develops the platform further. Some public forks are available, e.g. https://github.com/swiss-art-research-net/metaphacts-community maintained by the Swiss Art Research Infrastructure at UZH","Digital Scholar, Roy Rosenzweig Center for History and New Media, Alfred P. Sloan Foundation, Institute of Museum and Library Services, Samuel H. Kress Foundation, Library of Congress, The Andrew W. Mellon Foundation, The Getty Foundation, National Endowment for the Humanities
",,,"Official repositories maintained by Wikimedia Deutschland with long-term funding support: 2 separate teams for Wikibase Cloud and Wikibase Suite including permanent positions for product and community managers, UX designers, dedicated deverlopers and engineering leads. In addition to official maintaners, a membership-based Wikibase Stakeholders Group features institutional and consulting agency teams working in a professional capacity to develop additional software extensions. A dedicated Wikimedia Affiliated User Group with corresponding open communication channels provides further support to the community.","Actively maintained and supported with 1 permanent position by Germanischen Nationalmuseum Nürnberg (GNM), Community building within IGSD e.V., WissKICommunity and yearly User Meetings. Issue handling at Drupal WissKIs module page. Ongoing project funding (Objekte im Netz (2017-2020), Semantics4Art&Architecture (2019-2021), NFDI-Flexfunds for WissKI-Cloud (2022)). Multiple support possibilities (weekly Hackathons, chat, Skype-groups, direct contact with Robert Nasarek/ Mark Fichtner)"
8,Documentation,"Documentation is available on Github, see the readme, the install docs and the user guide. Current funding will enable more extensive, tutorial-style documentation as well as developer docs for the JSON API.",https://atomgraph.github.io/LinkedDataHub/linkeddatahub/docs/,,"Documentation and support is available on Github, on the Omeka Forum and on the User Manual.",,"There is documentation for VIVO, which is Vitro plus Research Information related functions. Most of the documentation applies to Vitro, too.",Documentation for the various components is availble through those relevant channels on the code repository and issue tracking platforms (GitHub and Phabricator). Additionally there are resources availble addressing the system holistically.,
9,Infrastructure stack,,"Docker, nginx, Apache Tomcat, Apache Jena, Eclipse Jersey, Varnish, Saxon-HE, Saxon-JS. Compatible with any SPARQL 1.1 triplestore, Apache Jena Fuseki is used by default.",,"Apache, MySQL 5.6.4+ (or MariaDB 10.0.5+), PHP 7.4+",,,"Wikibase is a MediaWiki extension, generally making use of a MariaDB database, as well as adding an additional Blazegraph triplestore for semantic queries. The integrated triple store, however, will be changed in future releases due to long-term sustainability issues with Blazegraph. Wikibase is commonly containerised as a Docker package, with web interface services managed by Apache or Nginx. ","WissKI is a module of Drupal. The Drupal CMS has a vast community and fokus on accessibility, security, backwarts compatibility and stability. It is very flexible and highly expandable (>3000 actively maintained modules), but coding in Drupal has a high learning curve. Drupal is written in PHP, but offers the possibility to encapsulate javascript software, so you can write and (with some coding) reuse JS-packages."
10,APIs,,W3C standard SPARQL 1.1 Protocol and SPARQL 1.1 Graph Store HTTP Protocol,,REST API,,"Multiple custom endpoints, Sparql Query and Update, JSON, Triple Pattern Fragments","The MediaWiki HTTP API is used to interact with the Wikibase in a manner similar to a traditional MediaWiki. A SPARQL endpoint is supplied for queries or data visualisations. The MediaWiki API is bidirectional, Blazegraph/SPARQL query services is not (ie read only).","RESTful API in common formats (JSON, XML, HAL, CSV) via Drupal Views, SPARQL1.1 Endpoint via triple store"
11,API usability level,"In addition to the OAI-PMH API, ConedaKOR has several JSON endpoints exposing all functionality available in the web interface",All API methods are available in the UI as well as the CLI (command line interface).,,Well documented,,Well documented (for Vivo),"The API comes with extensive documentation and examples, which are deployed by default into each instance.","RESTful API is easy to configure and to describe within Drupal, but since there is no out of the box interface, the usabiltiy depends on the developer (which can be oriented to good web services, like those of the World Register of Marine Species). Regarding the SPARQL endpoint, it depends on which triple store software you use (GraphDB has quite a decent interface). "
12,SPARQL Endpoint usability level,,YASGUI as SPARQL editor. Multiple chart types can be used to visualize results. Both queries and charts can be saved.,,,,,"The SPARQL endpoint has a GUI ""query helper"" and includes customisable ""example queries"" as an entry point. A range of data viz options are also included by default.",
13,Reification,"Statements can be added any time, fields can be added per type and per entity",,,,,,"Reification is supported by default on all data statements, by way of a ""Reference"" string or URL. Qualifiers can also be used as way to introduce additional ""statements about statements"". ","No agnostic technical solution, reification have to be activetly modelled (e.g. with CIDOC-CRM attribute assignment)."
14,Reasoning operations via the triplestore endpoint,,Depends on triplestore configuration,,,,"Jena offers an RDF reasoner, an OWL reasoner and transitive reasoning","Basic reasoning in the form of following class and property hierarchy structures is supported, but there is no current mechanism for logical inferencing.  ","Performs reasoning for class and property hierarchy, domain, range and inverse and stores it locally. Beside that, ""normal"" reasoning is performed by the triple store (if enabled)."
